Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-08 14:09:28,43.5,38.2
2025-08-08 14:09:29,41.8,40.8
2025-08-08 14:09:31,41.8,40.7
2025-08-08 14:09:32,41.8,40.7
2025-08-08 14:09:34,41.8,40.7
2025-08-08 14:09:36,41.8,40.7
2025-08-08 14:09:37,41.8,40.7
2025-08-08 14:09:39,41.8,40.8
2025-08-08 14:09:40,41.8,40.8
2025-08-08 14:09:42,41.8,40.9
2025-08-08 14:09:43,41.8,40.9
2025-08-08 14:09:45,41.7,40.8
2025-08-08 14:09:46,41.8,40.8
2025-08-08 14:09:48,41.8,40.8
2025-08-08 14:09:49,41.8,40.8
2025-08-08 14:09:51,41.8,40.8
2025-08-08 14:09:53,41.8,40.7
2025-08-08 14:09:54,41.8,40.7
2025-08-08 14:09:56,41.8,40.7
2025-08-08 14:09:57,41.8,40.7
2025-08-08 14:09:59,41.8,40.7
2025-08-08 14:10:00,41.8,40.7
2025-08-08 14:10:02,41.8,40.7
2025-08-08 14:10:03,41.8,40.7
2025-08-08 14:10:05,41.7,40.8

Rata-rata,41.859999999999985,40.65200000000001
