timestamp,ec,tds,suhu_tds,sensor_id,ph,suhu_ph,vref_ph,suhu_xy,humidity,flowrate
2025-08-08 09: 29:37,422,168.8,30.13,5,8.74,25.1,3.296,28.94,52.3,OFF
2025-08-08 09: 29:41,422,168.8,30.13,5,8.74,25.2,3.297,28.94,52.4,OFF
2025-08-08 09: 29:45,422,168.8,30.13,5,8.74,25.2,3.297,28.94,52.5,OFF
2025-08-08 09: 29:49,422,168.8,30.13,5,8.74,25.2,3.297,28.94,52.4,OFF
2025-08-08 09: 29:53,421,168.4,30.13,5,8.73,25.1,3.296,28.94,52.4,OFF
2025-08-08 09: 29:57,421,168.4,30.13,5,8.73,25.1,3.296,28.93,52.5,OFF
2025-08-08 09: 30:01,422,168.8,30.13,5,8.73,25.2,3.296,28.93,52.5,OFF
2025-08-08 09: 30:05,421,168.4,30.13,5,8.73,25.1,3.297,28.93,52.2,OFF
2025-08-08 09: 30:09,421,168.4,30.13,5,8.73,25.1,3.297,28.93,52.1,OFF
2025-08-08 09: 30:13,422,168.8,30.13,5,8.73,25.2,3.297,28.93,51.9,OFF
2025-08-08 09: 30:18,421,168.4,30.13,5,8.74,25.1,3.297,28.93,51.9,OFF
2025-08-08 09: 30:22,421,168.4,30.13,5,8.73,25.1,3.297,28.93,52.0,OFF
2025-08-08 09: 30:26,421,168.4,30.13,5,8.73,25.1,3.297,28.93,51.9,OFF
2025-08-08 09: 30:30,421,168.4,30.12,5,8.74,25.1,3.296,28.93,51.6,OFF
2025-08-08 09: 30:34,421,168.4,30.13,5,8.74,25.1,3.297,28.93,51.4,OFF
2025-08-08 09: 30:38,421,168.4,30.12,5,8.74,25.1,3.297,28.92,51.4,OFF
2025-08-08 09: 30:42,421,168.4,30.12,5,8.74,25.1,3.296,28.93,51.6,OFF
2025-08-08 09: 30:46,421,168.4,30.12,5,8.74,25.2,3.297,28.92,51.6,OFF
2025-08-08 09: 30:50,421,168.4,30.12,5,8.75,25.1,3.297,28.92,51.7,OFF
2025-08-08 09: 30:55,421,168.4,30.12,5,8.75,25.1,3.296,28.92,51.5,OFF
2025-08-08 09: 30:59,421,168.4,30.12,5,8.75,25.1,3.296,28.92,51.5,OFF
2025-08-08 09: 31:03,421,168.4,30.12,5,8.75,25.1,3.296,28.92,52.0,OFF
2025-08-08 09: 31:07,421,168.4,30.11,5,8.75,25.1,3.296,28.92,52.3,OFF
2025-08-08 09: 31:11,421,168.4,30.11,5,8.74,25.2,3.296,28.92,52.4,OFF
2025-08-08 09: 31:15,417,166.8,30.11,5,8.73,25.1,3.296,28.92,52.4,OFF
2025-08-08 09: 35:21,420,168.0,30.14,5,8.73,25.1,3.295,28.89,51.7,OFF
2025-08-08 09: 35:25,420,168.0,30.14,5,8.73,25.2,3.296,28.89,51.1,OFF
2025-08-08 09: 35:29,420,168.0,30.14,5,8.73,25.1,3.296,28.89,51.0,OFF
