Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:10:41,43.3,39.0
2025-08-01 14:10:43,43.3,38.9
2025-08-01 14:10:44,43.3,38.9
2025-08-01 14:10:46,43.3,39.1
2025-08-01 14:10:47,43.3,39.3
2025-08-01 14:10:49,43.3,39.4
2025-08-01 14:10:50,43.3,39.5
2025-08-01 14:10:52,43.3,39.5
2025-08-01 14:10:54,43.3,39.5
2025-08-01 14:10:55,43.3,39.4
2025-08-01 14:10:57,43.3,39.3
2025-08-01 14:10:58,43.2,39.3
2025-08-01 14:11:00,43.2,39.2
2025-08-01 14:11:01,43.3,39.4
2025-08-01 14:11:03,43.3,39.5
2025-08-01 14:11:04,43.3,39.5
2025-08-01 14:11:06,43.3,39.4
2025-08-01 14:11:07,43.2,39.2
2025-08-01 14:11:09,43.2,39.2
2025-08-01 14:11:11,43.3,39.2
2025-08-01 14:11:12,43.3,39.3
2025-08-01 14:11:14,43.3,39.6
2025-08-01 14:11:15,43.3,39.8
2025-08-01 14:11:17,43.3,40.0
2025-08-01 14:11:18,43.3,40.4
