Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:13:07,43.4,39.1
2025-08-01 14:13:09,43.4,39.1
2025-08-01 14:13:10,43.4,39.2
2025-08-01 14:13:12,43.4,39.4
2025-08-01 14:13:13,43.4,39.7
2025-08-01 14:13:15,43.4,39.7
2025-08-01 14:13:16,43.4,39.6
2025-08-01 14:13:18,43.4,39.6
2025-08-01 14:13:19,43.4,39.4
2025-08-01 14:13:21,43.4,39.4
2025-08-01 14:13:23,43.4,39.5
2025-08-01 14:13:24,43.4,39.6
2025-08-01 14:13:26,43.5,39.6
2025-08-01 14:13:27,43.4,39.7
2025-08-01 14:13:29,43.5,39.7
2025-08-01 14:13:30,43.4,39.7
2025-08-01 14:13:32,43.4,39.6
2025-08-01 14:13:33,43.5,39.6
2025-08-01 14:13:35,43.5,39.6
2025-08-01 14:13:36,43.5,39.6
2025-08-01 14:13:38,43.4,39.6
2025-08-01 14:13:40,43.5,39.6
2025-08-01 14:13:41,43.5,39.4
2025-08-01 14:13:43,43.5,39.4
2025-08-01 14:13:44,43.5,39.5
