Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 08:51:28,34.5,66.4
2025-08-01 08:51:30,34.5,66.4
2025-08-01 08:51:31,34.5,66.5
2025-08-01 08:51:33,34.4,66.8
2025-08-01 08:51:34,34.5,66.9
2025-08-01 08:51:36,34.4,67.1
2025-08-01 08:51:38,34.5,67.1
2025-08-01 08:51:39,34.4,67.1
2025-08-01 08:51:41,34.4,66.8
2025-08-01 08:51:42,34.4,66.5
2025-08-01 08:51:44,34.4,66.5
2025-08-01 08:51:45,34.4,66.3
2025-08-01 08:51:47,34.4,66.4
2025-08-01 08:51:48,34.4,66.5
2025-08-01 08:51:50,34.4,66.6
2025-08-01 08:51:52,34.4,66.7
2025-08-01 08:51:53,34.4,66.6
2025-08-01 08:51:55,34.4,66.5
2025-08-01 08:51:56,34.4,66.4
2025-08-01 08:51:58,34.4,66.4
2025-08-01 08:51:59,34.4,66.4
2025-08-01 08:52:01,34.4,66.5
2025-08-01 08:52:02,34.4,66.6
2025-08-01 08:52:04,34.4,66.7
2025-08-01 08:52:05,34.4,67.0
