Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-31 23:49:15,27.2,87.2
2025-07-31 23:49:17,27.2,87.2
2025-07-31 23:49:18,27.2,87.2
2025-07-31 23:49:20,27.3,87.4
2025-07-31 23:49:21,27.2,89.0
2025-07-31 23:49:23,27.2,90.3
2025-07-31 23:49:24,27.3,91.3
2025-07-31 23:49:26,27.3,91.7
2025-07-31 23:49:28,27.2,92.2
2025-07-31 23:49:29,27.3,92.2
2025-07-31 23:49:31,27.3,91.9
2025-07-31 23:49:32,27.3,91.3
2025-07-31 23:49:34,27.3,90.7
2025-07-31 23:49:35,27.3,90.1
2025-07-31 23:49:37,27.3,89.6
2025-07-31 23:49:38,27.2,89.3
2025-07-31 23:49:40,27.3,89.0
2025-07-31 23:49:41,27.3,88.8
2025-07-31 23:49:43,27.3,88.6
2025-07-31 23:49:45,27.3,88.4
2025-07-31 23:49:46,27.3,88.3
2025-07-31 23:49:48,27.3,88.2
2025-07-31 23:49:49,27.3,88.2
2025-07-31 23:49:51,27.3,88.1
2025-07-31 23:49:52,27.2,88.0
