Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-30 19:13:09,29.1,80.1
2025-07-30 19:13:11,29.1,80.2
2025-07-30 19:13:12,29.1,80.2
2025-07-30 19:13:14,29.1,80.2
2025-07-30 19:13:16,29.1,80.3
2025-07-30 19:13:17,29.1,80.4
2025-07-30 19:13:19,29.1,80.4
2025-07-30 19:13:20,29.1,80.5
2025-07-30 19:13:22,29.1,80.5
2025-07-30 19:13:23,29.1,80.5
2025-07-30 19:13:25,29.1,80.4
2025-07-30 19:13:26,29.1,80.4
2025-07-30 19:13:28,29.1,80.3
2025-07-30 19:13:29,29.1,80.4
2025-07-30 19:13:31,29.1,80.4
2025-07-30 19:13:33,29.1,80.4
2025-07-30 19:13:34,29.1,80.5
2025-07-30 19:13:36,29.1,80.6
2025-07-30 19:13:37,29.1,80.7
2025-07-30 19:13:39,29.1,80.6
2025-07-30 19:13:40,29.1,80.6
2025-07-30 19:13:42,29.1,80.7
2025-07-30 19:13:43,29.1,80.7
2025-07-30 19:13:45,29.1,80.7
2025-07-30 19:13:47,29.1,80.7
