Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 13:51:19,40.6,44.4
2025-08-01 13:51:21,40.5,43.7
2025-08-01 13:51:22,40.6,43.7
2025-08-01 13:51:24,40.5,43.6
2025-08-01 13:51:25,40.6,43.7
2025-08-01 13:51:27,40.6,43.7
2025-08-01 13:51:28,40.6,43.7
2025-08-01 13:51:30,40.6,43.9
2025-08-01 13:51:32,40.6,44.2
2025-08-01 13:51:33,40.7,44.3
2025-08-01 13:51:35,40.7,44.5
2025-08-01 13:51:36,40.7,44.6
2025-08-01 13:51:38,40.7,44.2
2025-08-01 13:51:39,40.7,43.9
2025-08-01 13:51:41,40.7,44.0
2025-08-01 13:51:42,40.7,44.1
2025-08-01 13:51:44,40.7,44.2
2025-08-01 13:51:46,40.7,44.4
2025-08-01 13:51:47,40.7,44.2
2025-08-01 13:51:49,40.8,43.9
2025-08-01 13:51:50,40.8,43.7
2025-08-01 13:51:52,40.8,43.6
2025-08-01 13:51:53,40.8,43.5
2025-08-01 13:51:55,40.8,43.5
2025-08-01 13:51:56,40.8,43.5
