Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 13:49:18,39.2,48.6
2025-08-01 13:49:19,40.9,44.4
2025-08-01 13:49:21,40.9,44.1
2025-08-01 13:49:23,40.9,43.8
2025-08-01 13:49:24,40.9,43.8
2025-08-01 13:49:26,40.9,43.7
2025-08-01 13:49:27,40.9,43.7
2025-08-01 13:49:29,40.9,43.6
2025-08-01 13:49:30,40.9,43.7
2025-08-01 13:49:32,40.9,43.7
2025-08-01 13:49:33,40.9,43.8
2025-08-01 13:49:35,40.9,43.8
2025-08-01 13:49:37,40.5,44.5
2025-08-01 13:49:38,39.8,52.8
2025-08-01 13:49:40,40.3,54.2
2025-08-01 13:49:41,40.3,50.8
2025-08-01 13:49:43,40.3,48.3
2025-08-01 13:49:44,40.3,46.9
2025-08-01 13:49:46,40.3,46.2
2025-08-01 13:49:47,40.3,45.8
2025-08-01 13:49:49,40.3,45.4
2025-08-01 13:49:51,40.3,44.8
2025-08-01 13:49:52,40.3,44.7
2025-08-01 13:49:54,40.3,44.8
2025-08-01 13:49:55,40.3,44.8
