Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 13:50:28,40.4,44.6
2025-08-01 13:50:30,40.3,44.8
2025-08-01 13:50:31,40.3,45.2
2025-08-01 13:50:33,40.3,45.4
2025-08-01 13:50:34,40.3,45.4
2025-08-01 13:50:36,40.3,45.4
2025-08-01 13:50:38,40.4,45.0
2025-08-01 13:50:39,40.4,44.7
2025-08-01 13:50:41,40.4,44.6
2025-08-01 13:50:42,40.4,44.7
2025-08-01 13:50:44,40.4,44.8
2025-08-01 13:50:45,40.4,44.8
2025-08-01 13:50:47,40.4,44.8
2025-08-01 13:50:48,40.4,44.8
2025-08-01 13:50:50,40.4,45.6
2025-08-01 13:50:52,40.5,46.1
2025-08-01 13:50:53,40.5,46.2
2025-08-01 13:50:55,40.5,45.8
2025-08-01 13:50:56,40.5,45.2
2025-08-01 13:50:58,40.5,45.1
2025-08-01 13:50:59,40.5,45.0
2025-08-01 13:51:01,40.5,44.7
2025-08-01 13:51:02,40.5,44.2
2025-08-01 13:51:04,40.5,44.1
2025-08-01 13:51:05,40.5,44.1
