Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 08:43:38,33.7,74.6
2025-08-01 08:43:40,33.6,71.5
2025-08-01 08:43:42,33.6,71.5
2025-08-01 08:43:43,33.6,71.3
2025-08-01 08:43:45,33.6,71.2
2025-08-01 08:43:46,33.6,71.1
2025-08-01 08:43:48,33.6,71.1
2025-08-01 08:43:49,33.6,71.1
2025-08-01 08:43:51,33.6,71.3
2025-08-01 08:43:52,33.6,71.3
2025-08-01 08:43:54,33.6,71.0
2025-08-01 08:43:56,33.6,71.0
2025-08-01 08:43:57,33.6,71.0
2025-08-01 08:43:59,33.6,71.0
2025-08-01 08:44:00,33.6,71.2
2025-08-01 08:44:02,33.6,71.4
2025-08-01 08:44:03,33.7,71.6
2025-08-01 08:44:05,33.7,71.7
2025-08-01 08:44:06,33.7,71.2
2025-08-01 08:44:08,33.7,70.9
2025-08-01 08:44:09,33.6,70.5
2025-08-01 08:44:11,33.6,70.6
2025-08-01 08:44:13,33.6,70.9
2025-08-01 08:44:14,33.6,71.1
2025-08-01 08:44:16,33.7,71.6
