Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-31 23:45:06,27.1,87.2
2025-07-31 23:45:08,27.1,87.2
2025-07-31 23:45:09,27.1,87.2
2025-07-31 23:45:11,27.1,87.2
2025-07-31 23:45:12,27.1,87.2
2025-07-31 23:45:14,27.1,87.2
2025-07-31 23:45:15,27.1,87.3
2025-07-31 23:45:17,27.1,87.3
2025-07-31 23:45:18,27.1,87.3
2025-07-31 23:45:20,27.1,87.3
2025-07-31 23:45:22,27.1,87.3
2025-07-31 23:45:23,27.1,87.2
2025-07-31 23:45:25,27.1,87.2
2025-07-31 23:45:26,27.1,87.1
2025-07-31 23:45:28,27.1,87.1
2025-07-31 23:45:29,27.1,87.1
2025-07-31 23:45:31,27.1,87.1
2025-07-31 23:45:32,27.1,87.1
2025-07-31 23:45:34,27.1,87.1
2025-07-31 23:45:35,27.1,87.1
2025-07-31 23:45:37,27.2,87.1
2025-07-31 23:45:39,27.2,87.1
2025-07-31 23:45:40,27.1,87.0
2025-07-31 23:45:42,27.1,87.0
2025-07-31 23:45:43,27.2,86.9
