Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 13:58:18,43.7,39.8
2025-08-01 13:58:20,43.9,38.9
2025-08-01 13:58:21,43.9,39.0
2025-08-01 13:58:23,43.9,39.1
2025-08-01 13:58:24,43.9,39.1
2025-08-01 13:58:26,43.9,39.2
2025-08-01 13:58:27,43.9,39.5
2025-08-01 13:58:29,43.9,39.5
2025-08-01 13:58:31,43.9,39.4
2025-08-01 13:58:32,43.9,38.9
2025-08-01 13:58:34,43.9,38.7
2025-08-01 13:58:35,43.9,38.7
2025-08-01 13:58:37,43.9,38.4
2025-08-01 13:58:38,43.9,38.1
2025-08-01 13:58:40,43.9,38.1
2025-08-01 13:58:41,43.9,38.2
2025-08-01 13:58:43,43.9,38.3
2025-08-01 13:58:44,43.9,38.2
2025-08-01 13:58:46,43.9,38.3
2025-08-01 13:58:48,44.0,38.2
2025-08-01 13:58:49,44.0,38.2
2025-08-01 13:58:51,44.0,38.3
2025-08-01 13:58:52,44.0,38.4
2025-08-01 13:58:54,44.0,38.3
2025-08-01 13:58:55,44.0,38.2
