Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-30 19:39:27,29.0,80.9
2025-07-30 19:39:28,29.1,80.8
2025-07-30 19:39:30,29.0,80.9
2025-07-30 19:39:32,29.0,80.8
2025-07-30 19:39:33,29.1,80.9
2025-07-30 19:39:35,29.1,80.9
2025-07-30 19:39:36,29.1,80.9
2025-07-30 19:39:38,29.1,81.1
2025-07-30 19:39:39,29.0,81.2
2025-07-30 19:39:41,29.1,81.3
2025-07-30 19:39:42,29.1,81.2
2025-07-30 19:39:44,29.1,81.2
2025-07-30 19:39:46,29.1,81.2
2025-07-30 19:39:47,29.1,81.3
2025-07-30 19:39:49,29.1,81.2
2025-07-30 19:39:50,29.1,81.3
2025-07-30 19:39:52,29.1,81.3
2025-07-30 19:39:53,29.1,81.2
2025-07-30 19:39:55,29.1,81.1
2025-07-30 19:39:56,29.1,81.0
2025-07-30 19:39:58,29.1,81.0
2025-07-30 19:39:59,29.1,80.9
2025-07-30 19:40:01,29.1,81.0
2025-07-30 19:40:03,29.1,80.9
2025-07-30 19:40:04,29.1,80.9
