Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 13:54:09,41.9,43.2
2025-08-01 13:54:10,42.0,42.8
2025-08-01 13:54:12,42.0,42.7
2025-08-01 13:54:13,42.0,42.4
2025-08-01 13:54:15,42.1,42.2
2025-08-01 13:54:16,42.1,41.9
2025-08-01 13:54:18,42.1,41.7
2025-08-01 13:54:20,42.2,41.7
2025-08-01 13:54:21,42.2,41.7
2025-08-01 13:54:23,42.3,41.9
2025-08-01 13:54:24,42.3,42.1
2025-08-01 13:54:26,42.3,42.2
2025-08-01 13:54:27,42.4,42.1
2025-08-01 13:54:29,42.4,42.1
2025-08-01 13:54:30,42.4,41.7
2025-08-01 13:54:32,42.5,41.0
2025-08-01 13:54:33,42.5,40.5
2025-08-01 13:54:35,42.6,40.3
2025-08-01 13:54:37,42.6,40.5
2025-08-01 13:54:38,42.7,40.6
2025-08-01 13:54:40,42.7,40.6
2025-08-01 13:54:41,42.7,40.6
2025-08-01 13:54:43,42.7,40.7
2025-08-01 13:54:44,42.8,40.9
2025-08-01 13:54:46,42.8,41.0
