Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 13:45:20,38.4,50.9
2025-08-01 13:45:22,38.8,49.0
2025-08-01 13:45:23,38.8,49.0
2025-08-01 13:45:25,38.8,48.8
2025-08-01 13:45:27,38.8,48.9
2025-08-01 13:45:28,38.8,49.2
2025-08-01 13:45:30,38.9,49.2
2025-08-01 13:45:31,38.9,49.0
2025-08-01 13:45:33,38.9,49.0
2025-08-01 13:45:34,38.9,49.0
2025-08-01 13:45:36,38.9,49.0
2025-08-01 13:45:37,38.9,48.6
2025-08-01 13:45:39,38.9,48.4
2025-08-01 13:45:40,39.0,48.5
2025-08-01 13:45:42,39.0,47.9
2025-08-01 13:45:44,39.0,47.8
2025-08-01 13:45:45,39.0,48.0
2025-08-01 13:45:47,39.0,48.3
2025-08-01 13:45:48,39.0,48.4
2025-08-01 13:45:50,39.0,48.6
2025-08-01 13:45:51,39.1,48.7
2025-08-01 13:45:53,39.0,48.8
2025-08-01 13:45:54,39.1,48.6
2025-08-01 13:45:56,39.1,48.3
2025-08-01 13:45:58,39.1,48.2
