Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-31 23:46:04,27.2,86.8
2025-07-31 23:46:05,27.2,86.6
2025-07-31 23:46:07,27.2,86.7
2025-07-31 23:46:08,27.2,86.7
2025-07-31 23:46:10,27.2,86.7
2025-07-31 23:46:11,27.2,86.7
2025-07-31 23:46:13,27.2,86.7
2025-07-31 23:46:14,27.2,86.6
2025-07-31 23:46:16,27.2,86.6
2025-07-31 23:46:18,27.2,86.5
2025-07-31 23:46:19,27.2,86.5
2025-07-31 23:46:21,27.2,86.5
2025-07-31 23:46:22,27.2,86.5
2025-07-31 23:46:24,27.2,86.5
2025-07-31 23:46:25,27.2,86.5
2025-07-31 23:46:27,27.2,86.5
2025-07-31 23:46:28,27.2,86.5
2025-07-31 23:46:30,27.2,86.5
2025-07-31 23:46:32,27.2,86.5
2025-07-31 23:46:33,27.2,86.5
2025-07-31 23:46:35,27.2,86.5
2025-07-31 23:46:36,27.2,86.6
2025-07-31 23:46:38,27.2,86.6
2025-07-31 23:46:39,27.2,86.6
2025-07-31 23:46:41,27.2,86.6
