Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-31 23:38:51,26.9,88.8
2025-07-31 23:38:53,26.9,88.2
2025-07-31 23:38:54,26.8,88.2
2025-07-31 23:38:56,26.9,88.2
2025-07-31 23:38:58,26.8,88.2
2025-07-31 23:38:59,26.8,88.1
2025-07-31 23:39:01,26.8,88.1
2025-07-31 23:39:02,26.8,88.1
2025-07-31 23:39:04,26.9,88.2
2025-07-31 23:39:05,26.8,88.2
2025-07-31 23:39:07,26.8,88.2
2025-07-31 23:39:08,26.8,88.3
2025-07-31 23:39:10,26.9,88.3
2025-07-31 23:39:11,26.9,88.3
2025-07-31 23:39:13,26.8,88.3
2025-07-31 23:39:15,26.8,88.3
2025-07-31 23:39:16,26.9,88.3
2025-07-31 23:39:18,26.9,88.3
2025-07-31 23:39:19,26.9,88.3
2025-07-31 23:39:21,26.9,88.3
2025-07-31 23:39:22,26.8,88.3
2025-07-31 23:39:24,26.9,88.3
2025-07-31 23:39:25,26.9,88.3
2025-07-31 23:39:27,26.9,88.4
2025-07-31 23:39:29,26.9,88.4
