Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:12:18,43.4,39.9
2025-08-01 14:12:19,43.4,39.6
2025-08-01 14:12:21,43.4,39.6
2025-08-01 14:12:23,43.4,39.6
2025-08-01 14:12:24,43.4,39.5
2025-08-01 14:12:26,43.4,39.4
2025-08-01 14:12:27,43.4,39.3
2025-08-01 14:12:29,43.4,39.3
2025-08-01 14:12:30,43.4,39.3
2025-08-01 14:12:32,43.4,39.3
2025-08-01 14:12:33,43.4,39.1
2025-08-01 14:12:35,43.4,38.7
2025-08-01 14:12:36,43.4,38.7
2025-08-01 14:12:38,43.4,38.7
2025-08-01 14:12:40,43.4,38.7
2025-08-01 14:12:41,43.4,38.7
2025-08-01 14:12:43,43.4,38.6
2025-08-01 14:12:44,43.4,38.6
2025-08-01 14:12:46,43.4,38.7
2025-08-01 14:12:47,43.4,39.1
2025-08-01 14:12:49,43.4,39.2
2025-08-01 14:12:50,43.4,39.4
2025-08-01 14:12:52,43.4,39.5
2025-08-01 14:12:54,43.4,39.4
2025-08-01 14:12:55,43.4,39.3
