Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 08:47:12,33.9,68.8
2025-08-01 08:47:14,33.9,67.6
2025-08-01 08:47:15,33.9,68.4
2025-08-01 08:47:17,33.9,68.7
2025-08-01 08:47:18,33.9,68.7
2025-08-01 08:47:20,33.9,68.4
2025-08-01 08:47:22,33.9,67.8
2025-08-01 08:47:23,33.9,67.2
2025-08-01 08:47:25,33.9,67.0
2025-08-01 08:47:26,33.9,67.2
2025-08-01 08:47:28,33.9,67.6
2025-08-01 08:47:29,33.9,67.8
2025-08-01 08:47:31,33.9,68.1
2025-08-01 08:47:32,33.9,68.2
2025-08-01 08:47:34,34.0,68.3
2025-08-01 08:47:36,34.0,68.4
2025-08-01 08:47:37,34.0,68.6
2025-08-01 08:47:39,34.0,68.7
2025-08-01 08:47:40,34.0,68.6
2025-08-01 08:47:42,34.0,68.4
2025-08-01 08:47:43,34.0,68.1
2025-08-01 08:47:45,34.0,67.2
2025-08-01 08:47:46,34.0,66.9
2025-08-01 08:47:48,34.0,67.0
2025-08-01 08:47:49,34.0,67.5
