Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-30 18:59:13,29.5,81.0
2025-07-30 18:59:15,29.6,81.1
2025-07-30 18:59:16,29.6,81.2
2025-07-30 18:59:18,29.6,81.2
2025-07-30 18:59:20,29.6,81.2
2025-07-30 18:59:21,29.6,81.3
2025-07-30 18:59:23,29.6,81.3
2025-07-30 18:59:24,29.6,81.3
2025-07-30 18:59:26,29.6,81.2
2025-07-30 18:59:27,29.6,81.2
2025-07-30 18:59:29,29.6,81.2
2025-07-30 18:59:30,29.6,81.1
2025-07-30 18:59:32,29.6,80.9
2025-07-30 18:59:34,29.6,80.8
2025-07-30 18:59:35,29.6,80.8
2025-07-30 18:59:37,29.6,80.8
2025-07-30 18:59:38,29.6,80.9
2025-07-30 18:59:40,29.6,80.8
2025-07-30 18:59:41,29.6,80.8
2025-07-30 18:59:43,29.6,80.7
2025-07-30 18:59:44,29.6,80.7
2025-07-30 18:59:46,29.6,80.6
2025-07-30 18:59:47,29.6,80.6
2025-07-30 18:59:49,29.6,80.6
2025-07-30 18:59:51,29.6,80.5
