Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:13:55,43.5,39.8
2025-08-01 14:13:56,43.6,39.8
2025-08-01 14:13:58,43.5,39.6
2025-08-01 14:13:59,43.6,39.2
2025-08-01 14:14:01,43.6,39.0
2025-08-01 14:14:03,43.6,38.8
2025-08-01 14:14:04,43.6,38.9
2025-08-01 14:14:06,43.6,39.0
2025-08-01 14:14:07,43.6,39.1
2025-08-01 14:14:09,43.6,39.2
2025-08-01 14:14:10,43.6,39.3
2025-08-01 14:14:12,43.6,39.1
2025-08-01 14:14:13,43.6,38.6
2025-08-01 14:14:15,43.6,38.6
2025-08-01 14:14:16,43.7,38.7
2025-08-01 14:14:18,43.7,38.8
2025-08-01 14:14:20,43.7,38.8
2025-08-01 14:14:21,43.7,38.9
2025-08-01 14:14:23,43.7,39.0
2025-08-01 14:14:24,43.7,39.1
2025-08-01 14:14:26,43.7,39.1
2025-08-01 14:14:27,43.7,39.1
2025-08-01 14:14:29,43.7,39.0
2025-08-01 14:14:30,43.7,38.9
2025-08-01 14:14:32,43.7,38.9
