Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-30 19:20:05,29.1,80.8
2025-07-30 19:20:07,29.0,81.7
2025-07-30 19:20:08,29.0,81.6
2025-07-30 19:20:10,28.9,81.6
2025-07-30 19:20:11,28.9,81.6
2025-07-30 19:20:13,29.0,81.4
2025-07-30 19:20:14,29.0,81.4
2025-07-30 19:20:16,29.0,81.3
2025-07-30 19:20:18,28.9,81.1
2025-07-30 19:20:19,29.0,81.1
2025-07-30 19:20:21,29.0,81.0
2025-07-30 19:20:22,29.0,81.0
2025-07-30 19:20:24,28.9,81.0
2025-07-30 19:20:25,29.0,81.0
2025-07-30 19:20:27,29.0,81.0
2025-07-30 19:20:28,29.0,81.0
2025-07-30 19:20:30,29.0,81.0
2025-07-30 19:20:31,29.0,81.0
2025-07-30 19:20:33,29.0,81.1
2025-07-30 19:20:35,29.0,81.1
2025-07-30 19:20:36,29.0,81.0
2025-07-30 19:20:38,29.0,80.9
2025-07-30 19:20:39,29.0,80.8
2025-07-30 19:20:41,29.0,80.8
2025-07-30 19:20:42,29.0,80.8
