Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 13:52:11,40.9,43.5
2025-08-01 13:52:12,40.9,44.0
2025-08-01 13:52:14,40.9,43.8
2025-08-01 13:52:15,40.9,43.7
2025-08-01 13:52:17,41.0,43.7
2025-08-01 13:52:19,41.0,43.9
2025-08-01 13:52:20,41.0,44.2
2025-08-01 13:52:22,41.0,44.0
2025-08-01 13:52:23,41.0,43.6
2025-08-01 13:52:25,41.0,43.8
2025-08-01 13:52:26,41.1,44.0
2025-08-01 13:52:28,41.1,44.2
2025-08-01 13:52:29,41.1,44.0
2025-08-01 13:52:31,41.2,43.6
2025-08-01 13:52:33,41.2,43.4
2025-08-01 13:52:34,41.2,43.4
2025-08-01 13:52:36,41.2,43.6
2025-08-01 13:52:37,41.3,43.7
2025-08-01 13:52:39,41.3,43.9
2025-08-01 13:52:40,41.3,44.1
2025-08-01 13:52:42,41.3,44.2
2025-08-01 13:52:43,41.3,44.1
2025-08-01 13:52:45,41.3,44.1
2025-08-01 13:52:46,41.4,44.1
2025-08-01 13:52:48,41.3,44.1
