Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 08:49:36,34.1,67.0
2025-08-01 08:49:38,34.3,66.8
2025-08-01 08:49:40,34.3,67.0
2025-08-01 08:49:41,34.4,67.2
2025-08-01 08:49:43,34.3,67.2
2025-08-01 08:49:44,34.3,67.3
2025-08-01 08:49:46,34.4,67.5
2025-08-01 08:49:47,34.4,67.6
2025-08-01 08:49:49,34.4,67.7
2025-08-01 08:49:50,34.4,67.7
2025-08-01 08:49:52,34.4,67.8
2025-08-01 08:49:53,34.4,67.6
2025-08-01 08:49:55,34.4,67.4
2025-08-01 08:49:57,34.4,67.0
2025-08-01 08:49:58,34.4,66.7
2025-08-01 08:50:00,34.4,66.7
2025-08-01 08:50:01,34.4,66.9
2025-08-01 08:50:03,34.4,67.0
2025-08-01 08:50:04,34.4,67.0
2025-08-01 08:50:06,34.4,67.1
2025-08-01 08:50:07,34.4,67.0
2025-08-01 08:50:09,34.4,66.9
2025-08-01 08:50:11,34.4,66.8
2025-08-01 08:50:12,34.4,66.8
2025-08-01 08:50:14,34.4,66.7
