Waktu,Suhu (°C),Kelembaban (%RH)
2025-07-31 23:44:09,27.0,87.4
2025-07-31 23:44:11,27.0,87.4
2025-07-31 23:44:12,27.1,87.4
2025-07-31 23:44:14,27.1,87.3
2025-07-31 23:44:15,27.0,87.3
2025-07-31 23:44:17,27.1,87.3
2025-07-31 23:44:19,27.1,87.3
2025-07-31 23:44:20,27.0,87.3
2025-07-31 23:44:22,27.1,87.3
2025-07-31 23:44:23,27.1,87.2
2025-07-31 23:44:25,27.1,87.2
2025-07-31 23:44:26,27.1,87.3
2025-07-31 23:44:28,27.1,87.3
2025-07-31 23:44:29,27.1,87.3
2025-07-31 23:44:31,27.1,87.3
2025-07-31 23:44:33,27.1,87.4
2025-07-31 23:44:34,27.1,87.4
2025-07-31 23:44:36,27.1,87.3
2025-07-31 23:44:37,27.1,87.3
2025-07-31 23:44:39,27.1,87.3
2025-07-31 23:44:40,27.1,87.3
2025-07-31 23:44:42,27.1,87.3
2025-07-31 23:44:43,27.1,87.3
2025-07-31 23:44:45,27.1,87.3
2025-07-31 23:44:46,27.1,87.3
