Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 08:36:08,32.3,76.6
2025-08-01 08:36:10,33.5,73.4
2025-08-01 08:36:11,33.5,73.4
2025-08-01 08:36:13,33.5,73.5
2025-08-01 08:36:15,33.5,73.8
2025-08-01 08:36:16,33.5,73.7
2025-08-01 08:36:18,33.5,73.7
2025-08-01 08:36:19,33.5,73.9
2025-08-01 08:36:21,33.5,74.1
2025-08-01 08:36:22,33.5,74.2
2025-08-01 08:36:24,33.6,74.4
2025-08-01 08:36:25,33.5,74.6
2025-08-01 08:36:27,33.5,74.7
2025-08-01 08:36:29,33.5,74.5
2025-08-01 08:36:30,33.5,74.3
2025-08-01 08:36:32,33.6,74.3
2025-08-01 08:36:33,33.6,74.4
2025-08-01 08:36:35,33.6,74.5
2025-08-01 08:36:36,33.6,74.5
2025-08-01 08:36:38,33.6,74.6
2025-08-01 08:36:39,33.6,74.6
2025-08-01 08:36:41,33.6,74.6
2025-08-01 08:36:42,33.6,74.6
2025-08-01 08:36:44,33.6,74.6
2025-08-01 08:36:46,33.6,74.6
