Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:14:47,43.8,39.5
2025-08-01 14:14:48,43.8,39.5
2025-08-01 14:14:50,43.8,39.2
2025-08-01 14:14:51,43.8,39.1
2025-08-01 14:14:53,43.8,38.9
2025-08-01 14:14:55,43.8,38.8
2025-08-01 14:14:56,43.8,38.7
2025-08-01 14:14:58,43.8,38.8
2025-08-01 14:14:59,43.8,38.8
2025-08-01 14:15:01,43.9,38.8
2025-08-01 14:15:02,43.9,38.8
2025-08-01 14:15:04,43.9,38.7
2025-08-01 14:15:05,43.9,38.9
2025-08-01 14:15:07,43.9,39.2
2025-08-01 14:15:08,43.9,39.1
2025-08-01 14:15:10,43.9,39.0
2025-08-01 14:15:12,43.9,39.0
2025-08-01 14:15:13,44.0,38.8
2025-08-01 14:15:15,43.9,38.6
2025-08-01 14:15:16,43.9,38.5
2025-08-01 14:15:18,44.0,38.3
2025-08-01 14:15:19,44.0,38.3
2025-08-01 14:15:21,44.0,38.4
2025-08-01 14:15:22,44.0,38.5
2025-08-01 14:15:24,44.0,38.7
