Waktu,Suhu (°C),Kelembaban (%RH)
2025-08-01 14:09:56,43.3,40.3
2025-08-01 14:09:57,43.4,40.2
2025-08-01 14:09:59,43.4,40.4
2025-08-01 14:10:00,43.4,40.4
2025-08-01 14:10:02,43.3,40.3
2025-08-01 14:10:04,43.4,40.1
2025-08-01 14:10:05,43.4,39.9
2025-08-01 14:10:07,43.4,39.8
2025-08-01 14:10:08,43.4,39.8
2025-08-01 14:10:10,43.3,39.6
2025-08-01 14:10:11,43.3,39.8
2025-08-01 14:10:13,43.4,39.7
2025-08-01 14:10:14,43.4,39.6
2025-08-01 14:10:16,43.3,39.6
2025-08-01 14:10:17,43.3,39.5
2025-08-01 14:10:19,43.3,39.4
2025-08-01 14:10:21,43.3,39.3
2025-08-01 14:10:22,43.3,39.5
2025-08-01 14:10:24,43.3,39.8
2025-08-01 14:10:25,43.3,39.9
2025-08-01 14:10:27,43.3,39.6
2025-08-01 14:10:28,43.3,39.4
2025-08-01 14:10:30,43.3,39.2
2025-08-01 14:10:31,43.3,39.4
2025-08-01 14:10:33,43.3,39.6
